Twitter Users,Followers,Twitter_Handle,Rank
UK Prime Minister,3034017,Number10gov,796
Paula Fernandes,3032582,PaulaFernandes7,797
Martha Stewart,3028433,MarthaStewart,798
الوليد بن طلال,3028304,Alwaleed_Talal,799
きゃりーぱみゅぱみゅ,3028123,pamyurin,800
Signos,3027551,SignosFodas,801
TRANS7,3027221,TRANS7,802
Stories in Boxes,3015016,TheWeirdWorld,803
Reggie Bush,3010396,ReggieBush,804
Pau Gasol,3006201,paugasol,805
بتال القوس,3005296,battalalgoos,806
Andrea Serna,3001989,AndreaSernaRCN,807
Sarcasm - Comedy Posts,2986273,ComedyPosts,808
InStyle,2984952,InStyle,809
Nathan Fillion,2984238,NathanFillion,810
Dylan O'Brien,2970168,dylanobrien,811
숮이,2970015,missA_suzy,812
THE X FACTOR (USA),2967290,TheXFactorUSA,813
yuvraj singh,2964949,YUVSTRONG12,814
Olympics,2964799,Olympics,815
Bill Maher,2959434,billmaher,816
Blake Griffin,2958251,blakegriffin32,817
JACKY BRACAMONTES,2954788,jackybrv,818
echofon,2954663,echofon,819
Miami HEAT,2952100,MiamiHEAT,820
นิชคุณ Buck หร��,2948096,Khunnie0624,821
Hillary Clinton,2947672,HillaryClinton,822
Andy Murray,2942935,andy_murray,823
Tity Boi (2 Chainz),2941357,2chainz,824
Lee Teuk,2933700,special1004,825
COMMON,2932787,common,826
Joseph Barton,2921489,Joey7Barton,827
michelle keegan,2914408,michkeegan,828
MTV España,2909938,mtvspain,829
E! News,2909247,ENews,830
El Nacional,2907308,ElNacionalWeb,831
brozo xmiswebs,2907128,brozoxmiswebs,832
Coca-Cola,2903770,CocaCola,833
GLEE,2897412,GLEEonFOX,834
THiaguinho,2882105,thiaguinhocomth,835
Heidi Klum,2876512,heidiklum,836
Jimmy Eat World,2875553,jimmyeatworld,837
can u not,2874709,lnsaneTweets,838
Jack,2872390,jack,839
Ryeowook,2870050,ryeong9,840
Twitter API,2864254,twitterapi,841
Tim Tebow,2863118,TimTebow,842
Josh Hutcherson,2857654,jhutch1992,843
Justin,2852637,shitmydadsays,844
Shashi Tharoor,2848138,ShashiTharoor,845
Hande Yener,2847100,handeyener,846
Ashlee Simpson Ross,2842611,ashleesimpson,847
Manu Ginobili,2832698,manuginobili,848
Connor Franta,2827354,ConnorFranta,849
✿ Life Post ✿,2826771,ItsLifeFact,850
Sky Sports,2826008,SkySports,851
Smosh,2824649,smosh,852
Caio Castro,2824369,CaioCastanheira,853
J BALVIN,2824060,JBALVIN,854
Pepsi™,2823518,pepsi,855
Matthew Espinosa,2809774,TheMattEspinosa,856
Genelia Deshmukh,2807428,geneliad,857
Eun Hyuk,2803981,AllRiseSilver,858
Wil Wheaton,2803771,wilw,859
Donald J. Trump,2799369,realDonaldTrump,860
Alyssa Milano,2798238,Alyssa_Milano,861
Mark Cuban,2796034,mcuban,862
GMA News,2794399,gmanews,863
Pearl Jam,2794183,PearlJam,864
Zappos.com CEO -Tony,2783669,tonyhsieh,865
Sertab Erener,2781996,sertaberener,866
Shawn Mendes,2778720,ShawnMendes,867
Jornal O Globo,2778413,JornalOGlobo,868
Leigh Francis,2776449,LeighFrancis,869
Seth Meyers,2774987,sethmeyers,870
BoA,2773255,BoAkwon,871
Juliana Paes,2772242,jupaesoficial,872
Susana Gimenez,2772034,Su_Gimenez,873
NOAH,2769625,NOAH_ID,874
Lea Salonga,2768141,MsLeaSalonga,875
McDonald's,2767277,McDonalds,876
deborah secco,2758644,dedesecco,877
KevinSmith,2755706,ThatKevinSmith,878
Al Gore,2750083,algore,879
Roger Federer,2741575,rogerfederer,880
TODAY,2739655,TODAYshow,881
Felipe Andreoli,2737668,andreolifelipe,882
Mark Wright,2736560,MarkWright_,883
SportsNation,2734817,SportsNation,884
Jerry Seinfeld,2734382,JerrySeinfeld,885
Firefox,2727232,firefox,886
Caracol Televisión,2725498,CaracolTV,887
Financial Times,2724986,FinancialTimes,888
